name,prompt,negative_prompt
"無し","",""
"末尾用コンマ",",",","
"東北きりたん（公式衣装）","touhoku kiritan,japanese clothes,mini skirt",""
"東北きりたん","touhoku kiritan",""
"東北イタコ（和服）","touhoku itako,japanese clothes",""
"東北イタコ","touhoku itako",""
"東北ずん子（和服）","touhoku zunko,japanese clothes",""
"東北ずん子","touhoku zunko",""
"ずんだもん","zundamon",""
"⇔音街ウナ","otomachi una","hat,big hat"
"四国めたん","shikoku metan",""
"※中国うさぎ（イナバ）","chuugoku usagi,miko,hakama,hair between eyes,stuffed rabbit,(pale skin:0.3)",""
"※中国うさぎ","chuugoku usagi,miko,hakama,hair between eyes,(pale skin:0.3)",""
"琴葉茜","kotonoha akane",""
"琴葉茜（公式衣装）","kotonoha akane,pink eyes,long hair,bangs,blunt bangs,sidelock,very long hair,hair intakes,hair ribbon,ribbon,hair ornament,hair tie,yagasuri,dress,sleeveless,bare shoulders,collared dress,wide sleeves,long sleeves,zettai ryouiki,white thigh highs,knee high boots",""
"琴葉葵","kotonoha aoi",""
"琴葉葵（公式衣装）","kotonoha aoi,pink eyes,long hair,bangs,blunt bangs,sidelock,very long hair,hair intakes,hair ribbon,ribbon,hair ornament,hair tie,yagasuri,dress,sleeveless,bare shoulders,collared dress,wide sleeves,long sleeves,zettai ryouiki,white thigh highs,knee high boots",""
"結月ゆかり","yuzuki yukari,ahoge,short hair with long locks,hair ornament",""
"結月ゆかり（公式衣装）","yuzuki yukari,ahoge,short hair with long locks,hair ornament,purple dress,criss-cross halter,hooded jacket,long sleeves,open jacket,purple thighhighs",""
"紲星あかり","kizuna akari,long hair,grey hair,twin braids,ahoge,hair ornament,blue eyes",""
"紲星あかり（公式衣装）","kizuna akari,long hair,grey hair,twin braids,ahoge,hair ornament,blue eyes,breasts,black dress,black jacket,open jacket,long sleeves,fingerless gloves,orange gloves,striped pantyhose,orange pantyhose",""
"※WhiteCUL","whiteCULvvmiky,white hair,very long hair,flower hairclip,snowflake earrings,white short kimono,shoulder cutout,bridal gauntlets,skirt,obi,obijime,snowflake hair ornament,blue nail polish,asymmetrical legwear,thighhighs,high heels",""
"小麦ちゃん","nakahara komugi,komugi chan,nakahara komugi,nurse witch komugi-chan,rabbit ears,gloves,star print thighhighs",""
"鹿目まどか","kaname madoka",""
"鹿目まどか（魔法少女）","kaname madoka,magical girl",""
"巴マミ","tomoe mami",""
"巴マミ（魔法少女）","tomoe mami,magical girl",""
"真鏡名ミナ","majikina mina \(samurai spirits\)",""
"ナコルル","nakoruru \(samurai spirits\)",""
"リムルル","rimururu \(samurai spirits\)",""
"いろは","iroha \(samurai spirits\),",""
"チャムチャム","cham cham \(samurai spirits\),",""
"ソフィーティア","sophitia alexandra,soulcalibur,",""
"カサンドラ","cassandra alexandra,soulcalibur",""
"霞","kasumi \(doa\),dead or alive",""
"あやね","ayane \(doa\),dead or alive",""
"マリーローズ","marie rose \(doa\),dead or alive,small breasts",""
"エスカレイヤー","beat angel escalayer,escalayer,long hair,light red hair,large breasts,white elbow gloves,white kneeboots,aqua eyes,smile,cleavage,red thigh strap,cleavage cutout,dress,hair ornament,skirt,looking at viewer,thighhighs,pink short dress,standing,high heel boots,pleated skirt,shiny,short sleeves,pink skirt,bangs,yellow ribbon,magical girl,eyebrows visible through hair,shiny skin,puffy sleeves,puffy short sleeves,covered navel,jewelry,
very long hair",""
"ラフタリア","raphtalia",""
"フリーレン","frieren \(frieren Beyond Journey's End\)",""
"フリーレン（公式衣装）","frieren \(frieren Beyond Journey's End\),long hair,white hair,twintails,pointy ears,earrings,thick eyebrows,white capelet,striped shirt,long sleeves,belt, white skirt,black pantyhose",""
"フェルン","fern \(frieren Beyond Journey's End\)",""
"フェルン（公式衣装）","fern \(frieren Beyond Journey's End\),long hair,purple hair,blunt bangs,purple eyes,large breasts,long dress,white dress,black robe,long sleeves",""
"ロキシー","roxy migurdia,blue eyes,blue hair,twin braids,crossed bangs,black ribbon,small breasts",""
"ロキシー（公式衣装）","roxy migurdia,blue eyes,blue hair,twin braids,crossed bangs,black ribbon,small breasts,brown cloak,white jacket,black skirt,short skirt,witch hat,black headwear",""
