name,prompt,negative_prompt
"無し","",""
"末尾用コンマ",",",","
"裸","nude",""
"⇔公式衣装","official costume","nude"
"上半身裸","topless",""
"下半身裸","lower body naked",""
"露出した乳首","exposed nipple",""
"露出した乳首（両方）","exposed nipples",""
"勃起乳首","erect nipples",""
"露出したマンコ","exposed pussy",""
"露出してないマンコ","","exposed pussy"
"露出した腹","exposed belly",""
"破れた衣装","torn costume,torn outfit",""
"汚れた衣装","dirty costume,dirty outfit",""
"シルバービキニ","low cut metallic bikini bottoms",""
"ずれたシルバービキニ","low cut metallic bikini bottoms aside",""
"赤色コスチューム","red costume",""
"青色コスチューム","blue costume",""
"黄色コスチューム","yellow costume",""
"緑色コスチューム","green costume",""
"黒色コスチューム","black costume",""
"白色コスチューム","white costume",""
"ピンク色コスチューム","pink costume",""
"紫色コスチューム","purple costume",""
"オレンジ色コスチューム","orange costume",""
"水色コスチューム","light blue costume",""
"紺色コスチューム","navy costume",""
"茶色コスチューム","brown costume",""
"灰色コスチューム","gray costume",""
"金色コスチューム","gold costume",""
"銀色コスチューム","silver costume",""
"虹色コスチューム","rainbow-colored costume",""
"パステルカラーコスチューム","pastel-colored costume",""
"モノトーンコスチューム","monotone costume",""
"ネオンカラーコスチューム","neon-colored costume",""
"ダークカラーコスチューム","dark-colored costume",""
"メタリックコスチューム","metallic costume",""
"メタリックレッドコスチューム","metallic red costume",""
"メタリックブルーコスチューム","metallic blue costume",""
"メタリックグリーンコスチューム","metallic green costume",""
"メタリックブラックコスチューム","metallic black costume",""
"メタリックシルバーコスチューム","metallic silver costume",""
"メタリックゴールドコスチューム","metallic gold costume",""
"クロームコスチューム","chrome costume",""
"スチールコスチューム","steel costume",""
"アイアンコスチューム","iron costume",""
"ブロンズコスチューム","bronze costume",""
"チタンコスチューム","titanium costume",""
"ホログラフィックコスチューム","holographic costume",""
"イリデセントコスチューム","iridescent costume",""
"スクール水着","school swimsuit",""
"スク水（旧式）","old-style school swimsuit",""
"スク水（新式）","modern school swimsuit",""
"競泳水着","competitive swimsuit",""
"ワンピース水着","single-piece swimsuit",""
"スポーツ水着","sports swimsuit",""
"ビキニ","bikini",""
"シンプルビキニ","simple bikini",""
"フリルビキニ","frilled bikini",""
"ホルターネックビキニ","halter neck bikini",""
"チューブトップビキニ","tube top bikini",""
"ストリングビキニ","string bikini",""
"ハイウエストビキニ","high-waist bikini",""
"パレオ","pareo",""
"パレオ付き水着","swimsuit with pareo",""
"タンキニ","tankini",""
"ラッシュガード","rash guard",""
"ビーチウェア","beachwear",""
"サマースイムウェア","summer swimwear",""
"ファンタジーコスチューム","fantasy costume",""
"魔法属性コスチューム","magic-themed fantasy costume",""
"聖属性コスチューム","holy fantasy costume",""
"闇属性コスチューム","dark fantasy costume",""
"炎属性コスチューム","fire-element fantasy costume",""
"氷属性コスチューム","ice-element fantasy costume",""
"雷属性コスチューム","lightning-element fantasy costume",""
"風属性コスチューム","wind-element fantasy costume",""
"土属性コスチューム","earth-element fantasy costume",""
"光る魔法衣装","glowing magical costume",""
"魔力発光コスチューム","mana-glowing fantasy costume",""
"精霊風コスチューム","spirit-inspired fantasy costume",""
"竜鱗風コスチューム","dragon-scale fantasy costume",""
"魔王風コスチューム","demon lord fantasy costume",""
"勇者風コスチューム","hero fantasy costume",""
"魔導士ローブ","fantasy mage robe",""
"神官服","fantasy priest outfit",""
"錬金術師服","fantasy alchemist outfit",""
"ナース服","nurse outfit",""
"セーラー服","sailor school uniform",""
"メイド服","maid outfit",""
"魔法少女コスチューム","magical girl outfit",""
"警察官制服","police uniform",""
"軍服","military uniform",""
"スーツ","suit outfit",""
"教師服","teacher outfit",""
"研究者白衣","lab coat",""
"探偵服","detective outfit",""
"冒険者装備","fantasy adventurer outfit",""
"騎士鎧","knight armor",""
"魔法使いローブ","wizard robe",""
"巫女装束","miko outfit",""
"侍装束","samurai outfit",""
"忍者装束","ninja outfit",""
"海賊衣装","pirate outfit",""
"アイドル衣装","idol costume",""
"ダンサー衣装","dancer costume",""
"ステージ衣装","stage costume",""
"王女ドレス","princess dress",""
"舞踏会ドレス","ball gown dress",""
"ウェディングドレス","wedding dress",""
"イブニングドレス","evening dress",""
"ゴスロリドレス","gothic lolita dress",""
"フリルドレス","frilled dress",""
"サマードレス","summer dress",""
"ロングドレス","long dress",""
"ミニドレス","mini dress",""
"帽子","hat",""
"魔女帽子","witch hat",""
"ナースキャップ","nurse cap",""
"学生帽","school cap",""
