name,prompt,negative_prompt
"無し","",""
"末尾用コンマ",",",","
"少女一人","1 girl,soro",""
"少女二人","2 girls,duo",""
"少女三人","3 girls,trio",""
"⇔薄い輪郭線","thin outline","thick outline"
"エヴァンゲリオン","by evangelion",""
"俺の妹がこんなに可愛い","by kanzaki hiro",""
"ケロロ軍曹","by yoshizaki mine",""
"グランブルファンタジー","by granblue fantasy",""
"ゴチうさ","by gochiusa",""
"小麦ちゃん","by watanabe akio",""
"邪神ちゃん","by yukiwo",""
"デジキャラット","by koge donbo",""
"ドラゴンクエスト","by toriyama akira",""
"能力は平均値って言ったよね","by akata ituki",""
"変態王子と","by kantoku",""
"ポケモン１","by sugimori ken",""
"ポケモン２","by saitou naoki",""
"物語シリーズ","by VOFAN",""
"化物語（アニメ）","by shaft illustration",""
"ラブライブ！","by love live!",""
"リルスティア","by ixy",""
"リゼロ","by ootsuka shin'ichirou",""
"ロシア語で","by momoko \(momopoco\)",""
"高峰さん","by ikeuchi tanuma",""
"とある科学の超電磁砲","by fuyukawa motoi",""
"このすば","by mishima kurone",""
"原神","by genshin impact",""
"魔法少女まどか☆マギカ","by madoka magica",""
"俺ガイル","by ponkan8",""
"マクロス","by kawamori sho",""
"五等分の花嫁","by haruba negi",""
"ぼっち・ざ・ろっく","by bocchi the rock",""
"リコリス・リコイル","by lycoris recoil",""
"ライザのアトリエ","by toridamono",""
"セーラームーン","by takeuchi naoko",""
"ノーゲーム・ノーライフ","by kamiya yu",""
"冴えない彼女","by misaki kurehito",""
"ゆずソフト","by muririn",""
"リアル","realistic,photorealistic",""
"フォトリアル","photorealistic,realistic textures""
"油絵","oil painting",""
"水彩画","watercolor painting,soft edges,translucent colors",""
"アクリル画","acrylic painting,vibrant colors,textured brush strokes",""
"パステル画","pastel painting,soft colors,smooth blending",""
"鉛筆画","pencil sketch,fine lines,shading",""
"線画","line art,clean lines,no shading",""
"漫画風","manga style,cel shading,bold outlines",""
"アニメ風","anime style,smooth colors,cel shading",""
"厚塗り","thick paint style,bold brush strokes,vivid colors",""
"グラフィックアート","graphic art,vector-like,clean shapes",""
"ドット絵","pixel art,retro style,8bit",""
"コミックスタイル","comic style,halftone dots,bold lines",""
"スケッチ風","sketch style,rough lines,light shading",""
"カートゥーン","cartoon style,exaggerated proportions,bright colors",""
"チョークアート","chalk art,textured strokes,vibrant on dark background",""
"インク画","ink illustration,black and white,crosshatching",""
"セルシェーディング","cel-shaded,flat colors,anime style",""
"3Dレンダリング","3D rendered,realistic lighting,depth",""
"CGイラスト","computer graphics illustration,digital painting",""
"デジタルペイント","digital painting,smooth blending,layers",""
"ファンタジーアート","fantasy art,magical elements,epic composition",""
"サイバーパンクスタイル","cyberpunk style,neon lights,futuristic city",""
"スチームパンクスタイル","steampunk style, gears, metallic textures",""
"アールヌーボー","art nouveau, elegant curves, decorative motifs",""
"抽象画","abstract painting, non-representational, expressive",""
"コンセプトアート","concept art, cinematic lighting, detailed environment",""
"イラスト風","illustration style, clean, colorful",""
"ハードエッジペイント","hard-edge painting, sharp contrasts, geometric shapes",""
"幻想アート","fantasy illustration, surreal elements, mystical colors",""
"光と影のリアル","chiaroscuro, dramatic lighting, realistic shadows",""
"シネマティック","cinematic style, film-like lighting and composition",""
"ノワール","noir style, dark tones, high contrast, moody",""
"モノクローム","monochrome, black and white, high contrast",""
"セピア調","sepia tone, vintage photograph feel",""
"水彩風ぼかし","soft watercolor blur, dreamy atmosphere",""
"カラフルポップ","colorful pop art, vibrant, energetic",""
"フラットカラー","flat color illustration, minimal shading",""
"スプレーペイント","spray paint style, street art, graffiti",""
"エアブラシ","airbrush style, smooth gradients, soft edges",""
"ミニマルアート","minimalist style, simple shapes, limited colors",""
"ジオメトリック","geometric style, patterns, abstract shapes",""
"点描画","pointillism, small dots creating image",""
"油彩厚塗りリアル","impasto oil painting, realistic lighting",""
"パステル厚塗り","thick pastel painting, textured strokes",""
"手描き風","hand-drawn style, organic lines, imperfect edges",""
"ヴィンテージイラスト","vintage illustration, muted colors, aged texture",""
"グラフィティ","graffiti style, street art, bold colors",""
"3Dセルシェーディング","3D cel-shaded, anime-style lighting",""
"ハイファンタジー","high fantasy style, epic scenery, detailed characters",""
"ローアート","low poly art, geometric, minimal detail",""
"スチームパンク絵画","steampunk painting, metallic textures, mechanical elements",""
"マットペイント","matte painting style, cinematic environment",""
"ポップアート","pop art, bold colors, iconic imagery",""
"グリッチアート","glitch art, distorted digital effects, RGB separation",""
