name,prompt,negative_prompt
"無し","",""
"末尾用コンマ",",",","
"触手","tentacle",""
"触手（複数）","tentacles",""
"触手怪人","tentacle monster",""
"触手怪人（複数）","tentacle monsters",""
"完全なる触手","eldritch abomination tentacle",""
"完全なる触手（複数）","eldritch abomination tentacles",""
"口に入った触手","tentacle in mouth",""
"胃に入った触手","tentacle in stomach",""
"マンコに入った触手","tentacle in pussy",""
"マンコに入った触手（複数）","tentacles in pussy",""
"アナルに入った触手","tentacle in anal",""
"アナルに入った触手（複数）","tentacles in anal",""
"触手の攻撃","tentacle attack",""
"一人称触手","pov tentacles",""
"一人称触手攻撃","pov attacking tentacles",""
"一人称触手鞭","pov whipping tentacles",""
"首を触手拘束","tentacles bound neck",""
"腕を触手拘束","tentacles bound arms",""
"手を触手拘束","tentacles bound hands",""
"胸を触手拘束","tentacles bound chest",""
"胴体を触手拘束","tentacles bound torso",""
"身体を触手拘束","tentacles bound body",""
"腹を触手拘束","tentacles bound belly",""
"腰を触手拘束","tentacles bound waist",""
"脚を触手拘束","tentacles bound legs",""
"太ももを触手拘束","tentacles bound thighs",""
"足首を触手拘束","tentacles bound ankles",""
"逆海老触手拘束","tentacles hogtie,arched back,on stomach",""
"刺す触手","stab tentacle",""
"頭に刺さった触手","tentacle stab head",""
"顔に刺さった触手","tentacle stab face",""
"額に刺さった触手","tentacle stab forehead",""
"目に刺さった触手","tentacle stab eye",""
"口に刺さった触手","tentacle stab mouth",""
"首に刺さった触手","tentacle stab neck",""
"肩に刺さった触手","tentacle stab shoulder",""
"胸に刺さった触手","tentacle stab chest",""
"胸元に刺さった触手","tentacle stab cleavage",""
"腹に刺さった触手","tentacle stab stomach",""
"腰に刺さった触手","tentacle stab waist",""
"背中に刺さった触手","tentacle stab back",""
"腕に刺さった触手","tentacle stab arm",""
"二の腕に刺さった触手","tentacle stab upper arm",""
"肘に刺さった触手","tentacle stab elbow",""
"手に刺さった触手","tentacle stab hand",""
"太ももに刺さった触手","tentacle stab thigh",""
"脚に刺さった触手","tentacle stab leg",""
"膝に刺さった触手","tentacle stab knee",""
"ふくらはぎに刺さった触手","tentacle stab calf",""
"足首に刺さった触手","tentacle stab ankle",""
"足に刺さった触手","tentacle stab foot",""
"頭に触手","tentacle hiting head",""
"髪に触手","tentacle hiting hair",""
"額に触手","tentacle hiting forehead",""
"顔に触手","tentacle hiting face",""
"目に触手","tentacle hiting eyes",""
"口に触手","tentacle hiting mouth",""
"首に触手","tentacle hiting neck",""
"肩に触手","tentacle hiting shoulders",""
"胸に触手","tentacle hiting chest",""
"胸下に触手","tentacle hiting underbust",""
"胴体に触手","tentacle hiting torso",""
"腰に触手","tentacle hiting waist",""
"腹に触手","tentacle hiting belly",""
"背中に触手","tentacle hiting back",""
"腕に触手","tentacle hiting arms",""
"上腕に触手","tentacle hiting upper arms",""
"前腕に触手","tentacle hiting forearms",""
"手首に触手","tentacle hiting wrists",""
"手に触手","tentacle hiting hands",""
"指に触手","tentacle hiting fingers",""
"マンコに触手","tentacle hiting pussy",""
"クリトリスに触手","tentacle hiting clitoris",""
"股間に触手","tentacle hiting crotch",""
"尻に触手","tentacle hiting hips",""
"臀部に触手","tentacle hiting buttocks",""
"脚に触手","tentacle hiting legs",""
"太ももに触手","tentacle hiting thighs",""
"膝に触手","tentacle hiting knees",""
"ふくらはぎに触手","tentacle hiting calves",""
"足首に触手","tentacle hiting ankles",""
"足に触手","tentacle hiting feet",""
"足先に触手","tentacle hiting toes",""
"腕を縛って吊るす触手","tentacle hanging,tentacles bound arms,arms up,own hands together",""
"腕を広げて吊るす触手","tentacle bound arms,arms up,separated arms,y shaped suspension",""
"体を縛って吊るす触手","tentacle hanging,tentacles bound torso,arms behind back,suspension",""
